Ref,Val,Package,PosX,PosY,Rot,Side
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-206.121000,-158.496000,0.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-205.740000,-189.738000,90.000000,bottom
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-166.878000,-131.826000,90.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-163.322000,-148.336000,-90.000000,bottom
"C22","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-164.211000,-131.826000,90.000000,bottom
"C23","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-166.116000,-148.336000,-90.000000,bottom
"D2","1N4148","D_SOD-123F",-161.290000,-120.015000,180.000000,bottom
"R11","220R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-156.972000,-133.858000,-90.000000,bottom
"R12","220R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-155.956000,-137.160000,180.000000,bottom
"R22","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-124.968000,-124.968000,90.000000,bottom
"R23","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-122.174000,-124.968000,90.000000,bottom
"R24","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-119.126000,-124.968000,90.000000,bottom
"U34","ADG2188","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias",-122.364500,-117.538500,0.000000,bottom
"U35","ADP5587-ACPZ_LFCSP24","LFCSP-24-1EP_4x4mm_P0.5mm_EP2.3x2.3mm",-187.960000,-139.700000,90.000000,bottom
"U36","TLC5955DCA_HTSSOP56","HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm",-205.740000,-199.707500,180.000000,bottom
"U37","TLC5955DCA_HTSSOP56","HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm",-205.867000,-167.703500,180.000000,bottom
